Country,Title,Type,Category,Frequency,Owner (group),Publisher,Ad Sales,Location / Note,Circulation,Country,Vertical,Audience,B2B/B2C,Reach,Format,Native fit,Tags,URL,URL_status
NO,Mentalt Perspektiv,Fagblad/tidsskrift,Helse/psyk,Periodisk,Selvstendig,Mental Helse,Direkte hos utgiver,Psykisk helse,,NO,B2B – Healthcare,Healthcare professionals,B2B,National,Print + Digital,High,,https://mentaltperspektiv.no,VERIFIED
NO,Mestring,Fagblad/tidsskrift,Helse,Periodisk,Selvstendig,FFO,Direkte hos utgiver,Kronisk syke,,NO,Health & Fitness,General consumer,B2B,National,Print + Digital,High,,https://mestring.no,VERIFIED
NO,Metodisten,Fagblad/tidsskrift,Kristen,Periodisk,Selvstendig,Metodistkirken,Direkte hos utgiver,Metodist,,NO,Religion,Religious (Christian),B2B,National,Print + Digital,High,,https://www.metodistkirken.no,VERIFIED
NO,Michael,Fagblad/tidsskrift,Medisin/historie,Kvartalsvis,Selvstendig,Det norske medicinske Selskab,Direkte hos utgiver,Medisinsk historie,,NO,History,General consumer,B2B,National,Print + Digital,High,,https://www.michaeljournal.no,VERIFIED
NO,Min Energi,Fagblad/tidsskrift,Energi,Periodisk,Tun Media,Tun Media,Tun Media Annonse,Energi forbruker,,NO,B2B – Energy & Utilities,Energy industry pros,B2B,National,Print + Digital,High,,https://www.tunmedia.no,UNVERIFIED
NO,Misjon idag,Fagblad/tidsskrift,Kristen,Periodisk,Selvstendig,Misjon idag,Direkte hos utgiver,Misjon,,NO,Religion,Religious (Christian),B2B,National,Print + Digital,High,,https://www.misjonshuset.no,VERIFIED
NO,MS-bladet,Fagblad/tidsskrift,Helse,Periodisk,Selvstendig,MS-forbundet,Direkte hos utgiver,MS,,NO,Health & Fitness,General consumer,B2B,National,Print + Digital,High,,https://www.ms.no,VERIFIED
NO,Museumsnytt,Fagblad/tidsskrift,Museum,Periodisk,Selvstendig,Norges museumsforbund,Direkte hos utgiver,Museum,,NO,History,History enthusiasts,B2B,National,Print + Digital,High,,https://museumsnytt.no,VERIFIED
NO,Musikkultur,Fagblad/tidsskrift,Musikk,Periodisk,Selvstendig,MFO,Direkte hos utgiver,Musikk,,NO,Music,General consumer,B2B,National,Print + Digital,High,,https://www.musikkultur.no,VERIFIED
NO,Natur & Foto,Fagblad/tidsskrift,Natur/foto,Periodisk,Selvstendig,Natur og Foto,Direkte hos utgiver,Naturfoto,,NO,Photography,General consumer,B2B,National,Print + Digital,High,,https://www.naturogfoto.no,VERIFIED
NO,Natur & Miljø,Fagblad/tidsskrift,Miljø,Periodisk,Naturvernforbundet,Naturvernforbundet,Salgsfabrikken AS,32 000 opplag,,NO,B2B – Charity & Third Sector,Environment sector pros,B2B,National,Print + Digital,High,,https://naturvernforbundet.no,VERIFIED
NO,Naturen,Fagblad/tidsskrift,Vitenskap,Periodisk,Universitetsforlaget,UF,Universitetsforlaget / Scandinavian University Press,Populærvitenskap,,NO,Science,General consumer,B2B,National,Print + Digital,High,,https://www.idunn.no/naturen,LIKELY_OK
NO,Naturpress.no,Fagblad/tidsskrift,Miljø,Digital,Selvstendig,Naturpress,Direkte hos utgiver,Natur/miljø,,NO,B2B – Charity & Third Sector,Environment sector pros,B2B,National,Digital,High,,https://naturpress.no,VERIFIED
NO,Negotia Magasin,Fagblad/tidsskrift,Fagforening,Periodisk,Selvstendig,Negotia,Direkte hos utgiver,22 000 opplag,,NO,B2B – Trade Union,Trade union members,B2B,National,Print + Digital,High,,https://www.negotia.no,VERIFIED
NO,NHI.no,Fagblad/tidsskrift,Helse,Digital,Selvstendig,Norsk Helseinformatikk,Direkte hos utgiver,Helseinformasjon,,NO,Health & Fitness,General consumer,B2B,National,Digital,High,,https://nhi.no,VERIFIED
NO,NNN-Arbeideren,Fagblad/tidsskrift,Fagforening,Periodisk,LO Media,NNN,LO Media,26 000 opplag,,NO,B2B – Marketing & Media,Marketing & media pros,B2B,National,Print + Digital,High,,https://www.frifagbevegelse.no,VERIFIED
NO,Nordand,Fagblad/tidsskrift,Språk,Periodisk,Universitetsforlaget,UF,Universitetsforlaget / Scandinavian University Press,Norsk som andrespråk,,NO,Literature & Books,Language researchers,B2B,National,Print + Digital,High,,https://www.idunn.no/nordand,LIKELY_OK
NO,"Nordic Journal of Arts, Culture and Health",Fagblad/tidsskrift,Helse/kultur,Periodisk,Universitetsforlaget,UF,Universitetsforlaget / Scandinavian University Press,Kunst og helse,,NO,Health & Fitness,General consumer,B2B,National,Print + Digital,High,,https://www.idunn.no/njach,LIKELY_OK
NO,Nordic Journal of Criminology,Fagblad/tidsskrift,Kriminologi,Periodisk,Universitetsforlaget,UF,Universitetsforlaget / Scandinavian University Press,Kriminologi,,NO,B2B – Marketing & Media,Marketing & media pros,B2B,National,Print + Digital,High,,https://www.idunn.no/njc,LIKELY_OK
NO,Nordic Journal of Dance,Fagblad/tidsskrift,Dans,Periodisk,Selvstendig,Dans i skolen,Direkte hos utgiver,Dans,,NO,B2B – Marketing & Media,Marketing & media pros,B2B,National,Print + Digital,High,,https://www.idunn.no/dans,LIKELY_OK
NO,Nordic Journal of Digital Literacy,Fagblad/tidsskrift,IT/utdanning,Periodisk,Universitetsforlaget,UF,Universitetsforlaget / Scandinavian University Press,Digital læring,,NO,B2B – Marketing & Media,Marketing & media pros,B2B,National,Print + Digital,High,,https://www.idunn.no/dk,LIKELY_OK
NO,Nordic Journal of Innovation in the Public Sector,Fagblad/tidsskrift,Offentlig,Periodisk,Universitetsforlaget,UF,Universitetsforlaget / Scandinavian University Press,Innovasjon,,NO,B2B – Marketing & Media,Marketing & media pros,B2B,National,Print + Digital,High,,https://www.idunn.no/njips,LIKELY_OK
NO,Nordic Journal of Nursing Research,Fagblad/tidsskrift,Helse,Periodisk,Selvstendig,Nordisk forening,Direkte hos utgiver,Sykepleie forskning,,NO,B2B – Healthcare,Healthcare professionals,B2B,National,Print + Digital,High,,https://journals.sagepub.com/home/njn,LIKELY_OK
NO,Nordic Journal of Religion and Society,Fagblad/tidsskrift,Religion,Periodisk,Universitetsforlaget,UF,Universitetsforlaget / Scandinavian University Press,Religion samfunn,,NO,Religion,Religious (Christian),B2B,National,Print + Digital,High,,https://www.idunn.no/njrs,LIKELY_OK
NO,Nordic Journal of Social Research,Fagblad/tidsskrift,Sosial,Periodisk,Universitetsforlaget,UF,Universitetsforlaget / Scandinavian University Press,Sosial forskning,,NO,B2B – Marketing & Media,Marketing & media pros,B2B,National,Print + Digital,High,,https://www.idunn.no/njsr,LIKELY_OK
NO,Nordic Journal of Studies in Policing,Fagblad/tidsskrift,Politi,Periodisk,Universitetsforlaget,UF,Universitetsforlaget / Scandinavian University Press,Politiforskning,,NO,B2B – Marketing & Media,Marketing & media pros,B2B,National,Print + Digital,High,,https://www.idunn.no/njsp,LIKELY_OK
NO,Nordic Journal of Urban Studies,Fagblad/tidsskrift,Byforskning,Periodisk,Universitetsforlaget,UF,Universitetsforlaget / Scandinavian University Press,Byforskning,,NO,B2B – Marketing & Media,Marketing & media pros,B2B,National,Print + Digital,High,,https://www.idunn.no/njus,LIKELY_OK
NO,Nordic Journal of Wellbeing,Fagblad/tidsskrift,Helse,Periodisk,Universitetsforlaget,UF,Universitetsforlaget / Scandinavian University Press,Velvære,,NO,Health & Fitness,General consumer,B2B,National,Print + Digital,High,,https://www.idunn.no/njw,LIKELY_OK
NO,Nordic Research in Music Education,Fagblad/tidsskrift,Musikk,Årlig,Cappelen Damm Akademisk,CDA,Cappelen Damm Akademisk,Musikkpedagogikk,,NO,B2B – Education,Teachers & educators,B2B,National,Print + Digital,High,,https://www.nmh.no,VERIFIED
NO,Nordic Studies in Education,Fagblad/tidsskrift,Pedagogikk,Periodisk,Universitetsforlaget,UF,Universitetsforlaget / Scandinavian University Press,Pedagogikk nordisk,,NO,B2B – Education,Teachers & educators,B2B,National,Print + Digital,High,,https://www.idunn.no/np,LIKELY_OK
NO,Nordisk Barnehageforskning,Fagblad/tidsskrift,Pedagogikk,Periodisk,Cappelen Damm Akademisk,CDA,Cappelen Damm Akademisk,Barnehageforskning,,NO,B2B – Education,Teachers & educators,B2B,National,Print + Digital,High,,https://journals.oslomet.no/index.php/nbf,VERIFIED
NO,Nordisk Domssamling,Fagblad/tidsskrift,Juss,Periodisk,Universitetsforlaget,UF,Universitetsforlaget / Scandinavian University Press,Nordisk juss,,NO,B2B – Legal,Legal professionals,B2B,National,Print + Digital,High,,https://www.idunn.no/nds,LIKELY_OK
NO,Nordisk Poesi,Fagblad/tidsskrift,Litteratur,Periodisk,Universitetsforlaget,UF,Universitetsforlaget / Scandinavian University Press,Poesi nordisk,,NO,Literature & Books,General consumer,B2B,National,Print + Digital,High,,https://www.idunn.no/nordisk_poesi,LIKELY_OK
NO,Nordisk tidsskrift for ungdomsforskning,Fagblad/tidsskrift,Ungdom,Periodisk,Universitetsforlaget,UF,Universitetsforlaget / Scandinavian University Press,Ungdomsforskning,,NO,Youth & Teens,Teens (13-19),B2B,National,Print + Digital,High,,https://www.idunn.no/ntu,LIKELY_OK
NO,Nordisk välfärdsforskning,Fagblad/tidsskrift,Velferd,Periodisk,Universitetsforlaget,UF,Universitetsforlaget / Scandinavian University Press,Velferd,,NO,B2B – Public Sector,Welfare researchers,B2B,National,Print + Digital,High,,https://www.idunn.no/nordvalfarsforskning,LIKELY_OK
NO,Nordisk Østforum,Fagblad/tidsskrift,Internasjonal,Periodisk,Selvstendig,Universitetsforlaget,Direkte hos utgiver,Russland/Øst-Europa,,NO,Politics & Current Affairs,Policy professionals,B2B,National,Print + Digital,High,,https://www.idunn.no/noros,LIKELY_OK
NO,Nordlit,Fagblad/tidsskrift,Litteratur,Periodisk,Selvstendig,UiT,Direkte hos utgiver,Litteratur og kultur,,NO,Literature & Books,General consumer,B2B,National,Print + Digital,High,,https://septentrio.uit.no/index.php/nordlit,VERIFIED
NO,Norsk Antropologisk Tidsskrift,Fagblad/tidsskrift,Antropologi,Periodisk,Universitetsforlaget,UF,Universitetsforlaget / Scandinavian University Press,Antropologi,,NO,Science,Anthropology researchers,B2B,National,Print + Digital,High,,https://www.idunn.no/nat,LIKELY_OK
NO,Norsk Arkivforum,Fagblad/tidsskrift,Arkiv,Periodisk,Universitetsforlaget,UF,Universitetsforlaget / Scandinavian University Press,Arkiv,,NO,History,History enthusiasts,B2B,National,Print + Digital,High,,https://www.idunn.no,LIKELY_OK
NO,Norsk Bridge,Fagblad/tidsskrift,Sport,Periodisk,Selvstendig,Norsk Bridgeforbund,Direkte hos utgiver,Bridge,,NO,Sports,General consumer,B2B,National,Print + Digital,High,,https://www.bridge.no,VERIFIED
NO,Norsk Epidemiologi,Fagblad/tidsskrift,Medisin,Periodisk,Selvstendig,Norsk forening for epidemiologi,Direkte hos utgiver,Epidemiologi,,NO,B2B – Healthcare,Healthcare professionals,B2B,National,Print + Digital,High,,https://www.ntnu.no/ojs/index.php/norepid,VERIFIED
NO,Norsk Farmaceutisk Tidsskrift,Fagblad/tidsskrift,Farmasi,10x/år,Selvstendig,Norges Farmaceutiske Forening,A2 Media AS,Farmasi,,NO,B2B – Healthcare,Healthcare professionals,B2B,National,Print + Digital,High,,https://www.farmatid.no,VERIFIED
NO,Norsk Filosofisk Tidsskrift,Fagblad/tidsskrift,Filosofi,Periodisk,Universitetsforlaget,UF,Universitetsforlaget / Scandinavian University Press,Filosofi,,NO,Literature & Books,Intellectual readers,B2B,National,Print + Digital,High,,https://www.idunn.no/nft,LIKELY_OK
NO,Norsk Fiskerinæring,Fagblad/tidsskrift,Fiskeri,Periodisk,Selvstendig,Norsk Fiskerinæring AS,Direkte hos utgiver,Fiskeri,,NO,B2B – Maritime,Maritime/seafood industry,B2B,National,Print + Digital,High,,https://kystogfjord.no,UNVERIFIED
NO,Norsk Geografisk Tidsskrift,Fagblad/tidsskrift,Geografi,Periodisk,Selvstendig,Norsk Geografisk Selskap,Direkte hos utgiver,Geografi,,NO,Science,Science enthusiasts,B2B,National,Print + Digital,High,,https://www.tandfonline.com/journals/sgeo20,LIKELY_OK
NO,Norsk Geologisk Tidsskrift,Fagblad/tidsskrift,Geologi,Kvartalsvis,Selvstendig,Norsk Geologisk Forening,Direkte hos utgiver,Geologi,,NO,Science,Science enthusiasts,B2B,National,Print + Digital,High,,https://njg.geologi.no,VERIFIED
NO,Norsk Hagetidend,Fagblad/tidsskrift,Hage,Månedlig,Selvstendig,Det norske hageselskap,Direkte hos utgiver,Hage,,NO,Garden,Garden enthusiasts,B2C,National,Print + Digital,Medium,,https://www.hageselskapet.no,VERIFIED
NO,Norsk Idrett,Fagblad/tidsskrift,Idrett,Periodisk,Selvstendig,NIF,Direkte hos utgiver,Norges idrettsforbund,,NO,Sports,Sports enthusiasts,B2B,National,Print + Digital,High,union-member-publication,https://www.idrettsforbundet.no,VERIFIED
NO,Norsk Klatring,Fagblad/tidsskrift,Sport,Periodisk,Selvstendig,Norges Klatreforbund,Direkte hos utgiver,Klatring,,NO,Sports,General consumer,B2B,National,Print + Digital,High,,https://www.klatring.no,VERIFIED
NO,Norsk Landbruk,Fagblad/tidsskrift,Landbruk,Periodisk,Tun Media,Tun Media,Tun Media Annonse,Landbruk,38000,NO,B2B – Agriculture,Farmers,B2B,National,Print + Digital,High,circulation-reported,https://norsklandbruk.no,VERIFIED
NO,Norsk Litteraturvitenskapelig Tidsskrift,Fagblad/tidsskrift,Litteratur,Periodisk,Universitetsforlaget,UF,Universitetsforlaget / Scandinavian University Press,Litteraturvitenskap,,NO,Literature & Books,General consumer,B2B,National,Print + Digital,High,,https://www.idunn.no/nlvt,LIKELY_OK
NO,Norsk Lovtidend,Fagblad/tidsskrift,Juss,Periodisk,Lovdata,Lovdata,Direkte hos utgiver,Lover og forskrifter,,NO,B2B – Legal,Legal professionals,B2B,National,Print + Digital,High,,https://lovdata.no,VERIFIED
NO,Norsk Medietidsskrift,Fagblad/tidsskrift,Mediefag,Kvartalsvis,Universitetsforlaget,UF,Universitetsforlaget / Scandinavian University Press,Medieforskning,,NO,B2B – Marketing & Media,Media professionals,B2B,National,Print + Digital,High,,https://www.idunn.no/nmt,LIKELY_OK
NO,Norsk Militært Tidsskrift,Fagblad/tidsskrift,Forsvar,Periodisk,Selvstendig,Norsk militært tidsskrift,Direkte hos utgiver,Forsvar,,NO,B2B – Defense & Police,Defense & police pros,B2B,National,Print + Digital,High,,https://www.oms.no,LIKELY_OK
NO,Norsk Misjonstidend,Fagblad/tidsskrift,Kristen,Periodisk,Selvstendig,Norsk Misjon,Direkte hos utgiver,Misjon,,NO,Religion,Religious (Christian),B2B,National,Print + Digital,High,,https://www.nms.no,VERIFIED
NO,Norsk Museumstidsskrift,Fagblad/tidsskrift,Museum,Periodisk,Universitetsforlaget,UF,Universitetsforlaget / Scandinavian University Press,Museumsfag,,NO,History,History enthusiasts,B2B,National,Print + Digital,High,,https://www.idunn.no/norsk_museumstidsskrift,LIKELY_OK
NO,Norsk Pedagogisk Tidsskrift,Fagblad/tidsskrift,Pedagogikk,Kvartalsvis,Universitetsforlaget,UF,Universitetsforlaget / Scandinavian University Press,Pedagogikk,,NO,B2B – Education,Teachers & educators,B2B,National,Print + Digital,High,,https://www.idunn.no/npt,LIKELY_OK
NO,Norsk Polarinstitutts Skrifter,Fagblad/tidsskrift,Polarforskning,Periodisk,Selvstendig,Norsk Polarinstitutt,Direkte hos utgiver,Polarforskning,,NO,Science,Polar researchers,B2B,National,Print + Digital,High,,https://www.npolar.no,LIKELY_OK
NO,Norsk Romsenter Magasin,Fagblad/tidsskrift,Romfart,Periodisk,Selvstendig,Norsk Romsenter,Direkte hos utgiver,Romfart,,NO,Science,Science enthusiasts,B2B,National,Print + Digital,High,,https://www.romsenter.no,VERIFIED
NO,Norsk Shakespeare- og Teatertidsskrift,Fagblad/tidsskrift,Kultur,Periodisk,Selvstendig,Norsk Shakespeare-selskap,Direkte hos utgiver,Teater,,NO,Arts & Culture,General consumer,B2B,National,Print + Digital,High,,https://www.shakespearetidsskrift.no,UNVERIFIED
NO,Norsk Sjakkblad,Fagblad/tidsskrift,Sport,Periodisk,Selvstendig,Norges Sjakkforbund,Direkte hos utgiver,Sjakk,,NO,Sports,General consumer,B2B,National,Print + Digital,High,,https://www.sjakk.no,VERIFIED
NO,Norsk Sjømat,Fagblad/tidsskrift,Sjømat,Periodisk,Selvstendig,Sjømatnorge,Direkte hos utgiver,Sjømat,,NO,B2B – Maritime,Maritime/seafood industry,B2B,National,Print + Digital,High,,https://www.norskfisk.no,VERIFIED
NO,Norsk Skogbruk,Fagblad/tidsskrift,Skogbruk,Periodisk,Selvstendig,Norsk Skogbruk,Salgsfabrikken AS,Skog,,NO,B2B – Agriculture,Farmers,B2B,National,Print + Digital,High,,https://www.skogkurs.no,VERIFIED
NO,Norsk Slekt,Fagblad/tidsskrift,Slekt,Periodisk,Selvstendig,NSF,Direkte hos utgiver,Slektshistorie,,NO,History,History enthusiasts,B2B,National,Print + Digital,High,,https://www.genealogi.no,VERIFIED
NO,Norsk Sosiologisk Tidsskrift,Fagblad/tidsskrift,Sosiologi,Periodisk,Universitetsforlaget,UF,Universitetsforlaget / Scandinavian University Press,Sosiologi,,NO,Science,Science enthusiasts,B2B,National,Print + Digital,High,,https://www.idunn.no/norsk_sosiologisk_tidsskrift,LIKELY_OK
NO,Norsk Squash Magasin,Fagblad/tidsskrift,Sport,Periodisk,Selvstendig,Norges Squashforbund,Direkte hos utgiver,Squash,,NO,Sports,General consumer,B2B,National,Print + Digital,High,,https://www.squash.no,VERIFIED
NO,Norsk Statsvitenskapelig Tidsskrift,Fagblad/tidsskrift,Statsvitenskap,Periodisk,Universitetsforlaget,UF,Universitetsforlaget / Scandinavian University Press,Statsvitenskap,,NO,Science,Science enthusiasts,B2B,National,Print + Digital,High,,https://www.idunn.no/nst,LIKELY_OK
NO,Norsk Steindustri,Fagblad/tidsskrift,Industri,Periodisk,Selvstendig,Norsk Bergindustri,Direkte hos utgiver,Stein,,NO,B2B – Engineering,Engineers,B2B,National,Print + Digital,High,,https://norskstein.no,VERIFIED
NO,Norsk Tidend,Fagblad/tidsskrift,Kristen,Periodisk,Selvstendig,Norsk Luthersk Misjonssamband,Direkte hos utgiver,Misjon,,NO,Religion,Religious (Christian),B2B,National,Print + Digital,High,,https://www.noregsmallag.no,VERIFIED
NO,Norsk Tidsskrift for Ernæring,Fagblad/tidsskrift,Ernæring,Periodisk,Universitetsforlaget,UF,Universitetsforlaget / Scandinavian University Press,Ernæring,,NO,B2B – Healthcare,Healthcare professionals,B2B,National,Print + Digital,High,,https://www.idunn.no/nte,LIKELY_OK
NO,Norsk Tidsskrift for Misjonsvitenskap,Fagblad/tidsskrift,Religion,Periodisk,Selvstendig,NMS,Direkte hos utgiver,Misjonsvitenskap,,NO,Religion,Religious (Christian),B2B,National,Print + Digital,High,,https://www.egede.no,VERIFIED
NO,Norsk Tidsskrift for Sjøvesen,Fagblad/tidsskrift,Maritim,Periodisk,Selvstendig,Sjøoffisersforbundet,Direkte hos utgiver,Sjøfart,,NO,B2B – Maritime,Maritime/seafood industry,B2B,National,Print + Digital,High,,https://www.kysten.no,UNVERIFIED
NO,Norsk Tidsskrift for Spesialpedagogikk,Fagblad/tidsskrift,Spesialpedagogikk,Kvartalsvis,Universitetsforlaget,UF,Universitetsforlaget / Scandinavian University Press,Spesialped,,NO,B2B – Education,Special education pros,B2B,National,Print + Digital,High,,https://www.idunn.no,LIKELY_OK
NO,Norsk Veterinærhistorisk Selskaps skrifter,Fagblad/tidsskrift,Veterinær,Periodisk,Selvstendig,NVHS,Direkte hos utgiver,,,NO,B2B – Healthcare,Healthcare professionals,B2B,National,Print + Digital,High,,https://www.vetinst.no,VERIFIED
NO,Norsk Veterinærtidsskrift,Fagblad/tidsskrift,Veterinær,10x/år,Selvstendig,Den norske veterinærforening,HS Media AS,Veterinær,3000,NO,B2B – Healthcare,Healthcare professionals,B2B,National,Print + Digital,High,circulation-reported,https://www.vetnett.no,VERIFIED
NO,Norsklæraren,Fagblad/tidsskrift,Skole,Periodisk,Selvstendig,Landslaget for norskundervisning,Direkte hos utgiver,Norskfag,,NO,B2B – Education,Teachers & educators,B2B,National,Print + Digital,High,,https://www.norskundervisning.no,VERIFIED
NO,NTL-Magasinet,Fagblad/tidsskrift,Fagforening,Periodisk,LO Media,Norsk Tjenestemannslag,LO Media,47 000 opplag,,NO,B2B – Marketing & Media,Marketing & media pros,B2B,National,Print + Digital,High,,https://www.ntl.no,VERIFIED
NO,Offisersbladet,Fagblad/tidsskrift,Forsvar,Periodisk,Selvstendig,BFO,Direkte hos utgiver,10 000 opplag,,NO,B2B – Defense & Police,Defense & police pros,B2B,National,Print + Digital,High,,https://offisersbladet.no,VERIFIED
NO,Optikeren,Fagblad/tidsskrift,Helse/syn,Periodisk,Selvstendig,Norges Optikerforbund,Direkte hos utgiver,Optometri,,NO,B2B – Healthcare,Opticians,B2B,National,Print + Digital,High,,https://www.optikerne.no,VERIFIED
NO,Oslo Law Review,Fagblad/tidsskrift,Juss,Periodisk,Universitetsforlaget,UF,Universitetsforlaget / Scandinavian University Press,Engelskspråklig,,NO,B2B – Legal,Legal professionals,B2B,International,Print + Digital,High,,https://www.idunn.no/oslo_law_review,LIKELY_OK
NO,PACEM,Fagblad/tidsskrift,Forsvar/etikk,Periodisk,Selvstendig,Feltprestkorpset,Direkte hos utgiver,Militæretikk,,NO,B2B – Defense & Police,Defense & police pros,B2B,National,Print + Digital,High,,https://pacem.no,VERIFIED
NO,Parat,Fagblad/tidsskrift,Fagforening,Periodisk,Selvstendig,Parat,Direkte hos utgiver,20 000 opplag,,NO,B2B – Trade Union,Trade union members,B2B,National,Print + Digital,High,,https://www.parat.com,VERIFIED
NO,ParatLuftfart,Fagblad/tidsskrift,Fagforening,Periodisk,Selvstendig,Parat,Direkte hos utgiver,Luftfart,,NO,B2B – Trade Union,Trade union members,B2B,National,Print + Digital,High,,https://www.parat.com,VERIFIED
NO,ParatStat,Fagblad/tidsskrift,Fagforening,Periodisk,Selvstendig,Parat,Direkte hos utgiver,Stat,,NO,B2B – Trade Union,Trade union members,B2B,National,Print + Digital,High,,https://www.parat.com,VERIFIED
NO,Parc Fermé,Fagblad/tidsskrift,Motorsport,Periodisk,Selvstendig,Parc Fermé AS,Direkte hos utgiver,Motorsport,,NO,Sports,Motorsport enthusiasts,B2C,National,Print + Digital,Medium,,https://www.parcferme.no,VERIFIED
NO,Park & Anlegg,Fagblad/tidsskrift,Anlegg,Periodisk,Selvstendig,NLA,A2 Media AS,Park,,NO,B2B – Construction & Property,Construction & property pros,B2B,National,Print + Digital,High,,https://park-anlegg.no,VERIFIED
NO,Personal og ledelse,Fagblad/tidsskrift,Ledelse,Periodisk,Selvstendig,Personal og ledelse,Direkte hos utgiver,Ledelse,,NO,B2B – HR & Management,HR & management pros,B2B,National,Print + Digital,High,,https://www.dagensperspektiv.no,VERIFIED
NO,Pinsebevegelsen.no,Fagblad/tidsskrift,Religion,Digital,Selvstendig,Pinsebevegelsen,Direkte hos utgiver,Pinse,,NO,Religion,Religious (Christian),B2B,National,Digital,High,,https://www.pinsebevegelsen.no,VERIFIED
NO,Plan,Fagblad/tidsskrift,Arkitektur/planlegging,Periodisk,Selvstendig,NBBL,Direkte hos utgiver,Byplanlegging,,NO,B2B – Construction & Property,Urban planners,B2B,National,Print + Digital,High,,https://www.idunn.no/plan,LIKELY_OK
NO,Politiforum,Fagblad/tidsskrift,Politi,Periodisk,Selvstendig,Politiets Fellesforbund,Salgsfabrikken AS,19 000 opplag,18000,NO,B2B – Defense & Police,Defense & police pros,B2B,National,Print + Digital,High,circulation-reported,https://www.politiforum.no,VERIFIED
NO,Posthornet,Fagblad/tidsskrift,Fagforening,Periodisk,LO Media,Postkom,LO Media,12 000 opplag,,NO,B2B – Marketing & Media,Marketing & media pros,B2B,National,Print + Digital,High,,https://www.posten.no,VERIFIED
NO,Praktisk økonomi & finans,Fagblad/tidsskrift,Økonomi,Kvartalsvis,Universitetsforlaget,UF,Universitetsforlaget / Scandinavian University Press,Økonomi,,NO,B2B – Finance & Insurance,Financial services pros,B2B,National,Print + Digital,High,,https://www.idunn.no/pof,LIKELY_OK
NO,Pro AV Magasinet,Fagblad/tidsskrift,AV/teknologi,Periodisk,Selvstendig,Pro AV,Direkte hos utgiver,AV-bransjen,,NO,B2B – IT & Tech,IT professionals,B2B,National,Print + Digital,High,,https://www.proav.no,VERIFIED
NO,Probeer Dagligvarespesial,Fagblad/tidsskrift,Handel,Periodisk,Krydder Kommunikasjon,Krydder,Krydder Kommunikasjon,Dagligvare,,NO,B2B – Retail,Retail pros,B2B,National,Print + Digital,High,,https://probeer.no,LIKELY_OK
NO,Probeer Uteliv,Fagblad/tidsskrift,Handel/uteliv,Periodisk,Krydder Kommunikasjon,Krydder,Krydder Kommunikasjon,Uteliv,,NO,B2B – Retail,Retail pros,B2B,National,Print + Digital,High,,https://probeer.no,LIKELY_OK
NO,ProDrink,Fagblad/tidsskrift,Drikke,Periodisk,Krydder Kommunikasjon,Krydder,Krydder Kommunikasjon,Drikke,,NO,B2B – Hospitality,Hospitality pros,B2B,National,Print + Digital,High,,https://prodrink.no,LIKELY_OK
NO,Psykisk Helse,Fagblad/tidsskrift,Helse/psyk,Periodisk,Selvstendig,Rådet for psykisk helse,Direkte hos utgiver,Psykisk helse,,NO,B2B – Healthcare,Healthcare professionals,B2B,National,Print + Digital,High,,https://psykiskhelse.no,VERIFIED
NO,Psykologisk.no,Fagblad/tidsskrift,Psykologi,Digital,Selvstendig,Psykologisk.no,Direkte hos utgiver,Psykologi,,NO,B2B – Healthcare,Psychologists,B2B,National,Digital,High,,https://psykologisk.no,VERIFIED
NO,Putsj,Fagblad/tidsskrift,Miljø,Periodisk,Selvstendig,Natur og Ungdom,Direkte hos utgiver,Ungdom og miljø,,NO,B2B – Charity & Third Sector,Environment sector pros,B2B,National,Print + Digital,High,,https://putsj.no,VERIFIED
NO,På Høyden,Fagblad/tidsskrift,UH,Digital,Selvstendig,UiB,Direkte hos utgiver,Universitetsavis UiB,,NO,B2B – Education,Teachers & educators,B2B,National,Digital,High,,https://pahoyden.khrono.no,VERIFIED
NO,Religioner.no,Fagblad/tidsskrift,Religion,Digital,Selvstendig,Religioner.no,Direkte hos utgiver,Religionsdialog,,NO,Religion,Religious (Christian),B2B,National,Digital,High,,https://www.religioner.no,VERIFIED
NO,Ren Mat,Fagblad/tidsskrift,Mat,Periodisk,Selvstendig,Økologisk Norge,Direkte hos utgiver,Økologisk,,NO,B2B – Retail,Food retail/trade,B2B,National,Print + Digital,High,,https://www.renmat.no,VERIFIED
NO,Renholdsnytt,Fagblad/tidsskrift,Renhold,Periodisk,Selvstendig,NHO Service og Handel,Direkte hos utgiver,Renhold,,NO,B2B – Other Trade Press,Industry professionals,B2B,National,Print + Digital,High,,https://www.renholdsnytt.no,VERIFIED
NO,Revmatikeren,Fagblad/tidsskrift,Helse,Periodisk,Selvstendig,Norsk Revmatikerforbund,Direkte hos utgiver,Revmatisme,,NO,Health & Fitness,General consumer,B2B,National,Print + Digital,High,,https://www.revmatiker.no,VERIFIED
NO,Røntgensikret,Fagblad/tidsskrift,Helse,Periodisk,Selvstendig,NSF,Direkte hos utgiver,Røntgen,,NO,Health & Fitness,General consumer,B2B,National,Print + Digital,High,,https://www.rontgen.no,LIKELY_OK
NO,Rørfag,Fagblad/tidsskrift,Bygg/rør,Periodisk,Selvstendig,Rørentreprenørene Norge,Direkte hos utgiver,Rørleggerbransje,,NO,B2B – Construction & Property,Construction & property pros,B2B,National,Print + Digital,High,,https://rorfag.no,VERIFIED
